near_miss_id,site_id,report_date,hazard_category,shift,location_on_site,potential_severity,corrective_action_taken,description
371,6,2023-06-05,Fall from height,Day,Processing plant,High,True,Ab quod inventore amet ullam veritatis vero magni voluptates ipsam quo ad repellendus laudantium.
372,6,2024-07-19,Mobile equipment,Day,Haul road,Medium,True,Praesentium qui ex a et alias aspernatur qui totam quibusdam excepturi voluptates.
373,6,2025-11-15,Mobile equipment,Afternoon,Haul road,High,False,Pariatur eum quia dignissimos sequi vero quas impedit nisi eligendi dicta porro illum quisquam et consequatur.
374,6,2025-02-13,Ground fall,Afternoon,Underground,Medium,True,Delectus assumenda earum fuga ratione consequuntur reiciendis repellat repellendus sequi explicabo dolorum ab quis eius repellendus.
375,6,2025-07-04,Mobile equipment,Day,Workshop,Low,True,Doloremque id eveniet facere suscipit animi a quam soluta tempora ab eum possimus quisquam.
376,6,2025-05-27,Fall from height,Afternoon,Processing plant,High,False,Quam rem architecto quam cum praesentium aut inventore minus quaerat suscipit quos numquam nam sequi porro eius aut.
377,6,2023-06-02,Fall from height,Afternoon,Processing plant,Medium,False,Architecto temporibus fugiat assumenda porro blanditiis cumque veniam explicabo porro enim ullam maiores expedita cum quam cumque fugiat.
378,6,2025-10-30,Fall from height,Night,Underground,High,True,Aperiam nostrum facere ex culpa doloremque mollitia neque eum.
379,6,2025-05-29,Manual handling,Night,Haul road,Low,False,Tempora doloremque sint harum placeat explicabo sed deserunt ea dolor commodi adipisci aliquid.
380,6,2025-01-07,Explosives,Night,Underground,High,False,Ad itaque ipsum impedit vel quisquam in error nostrum quis.
381,6,2024-12-23,Ground fall,Afternoon,Workshop,High,True,Est hic laborum tempora molestiae laboriosam quas neque numquam minus voluptatibus sequi rerum corporis.
382,6,2026-03-01,Mobile equipment,Day,Underground,Medium,True,Delectus saepe unde deleniti deserunt facilis dolorem accusantium deleniti velit possimus adipisci excepturi.
383,6,2024-05-20,Ground fall,Night,Workshop,Low,False,Debitis modi id delectus nostrum cum amet esse voluptas unde similique explicabo quae laudantium.
384,6,2024-04-06,Mobile equipment,Day,Workshop,High,False,Ratione incidunt itaque repellat aperiam atque aut non possimus reprehenderit veniam necessitatibus.
385,6,2024-05-08,Fall from height,Night,Workshop,Medium,True,Qui et rerum aliquid enim sapiente a ducimus doloremque sapiente velit.
386,6,2023-09-02,Hazardous substances,Afternoon,Processing plant,Low,False,Consequatur rerum voluptatum tempora officiis placeat atque sint expedita repellendus laudantium consequuntur.
387,6,2025-08-04,Mobile equipment,Night,Underground,Medium,True,Vel ratione sed culpa iusto fugiat itaque quam ullam modi est explicabo quam.
388,6,2024-03-25,Ground fall,Afternoon,Haul road,Medium,False,Velit velit possimus harum ut laboriosam dolores hic enim distinctio impedit.
389,6,2024-09-10,Ground fall,Night,Workshop,High,True,Voluptates rerum laborum quidem quia atque consequatur consectetur quasi aliquid vero modi et voluptatum.
390,6,2025-10-26,Fall from height,Night,Processing plant,Medium,True,Culpa blanditiis aperiam itaque eveniet porro magnam maxime illo cupiditate soluta quae sunt quis cumque officia vero quos.
391,6,2026-01-07,Mobile equipment,Day,Camp,Medium,False,Repellendus delectus corrupti expedita quam eaque necessitatibus inventore in.
392,6,2024-02-12,Fall from height,Night,Open pit,High,True,Voluptates culpa architecto atque eveniet architecto saepe ducimus autem nobis illo non natus animi.
393,6,2024-04-25,Explosives,Night,Underground,Medium,True,Incidunt cumque vel a et sunt excepturi quia illo qui exercitationem maxime mollitia numquam blanditiis labore illo cum.
394,6,2023-11-06,Hazardous substances,Day,Underground,Low,True,Necessitatibus hic qui temporibus eius aliquam voluptas ipsam.
395,6,2024-05-18,Hazardous substances,Day,Open pit,Medium,False,Possimus officiis magni ipsa repellendus debitis asperiores sapiente corrupti modi laboriosam et et sequi nesciunt earum eveniet.
396,6,2026-05-08,Mobile equipment,Afternoon,Processing plant,Low,False,Incidunt itaque nisi est modi iste in similique consectetur cum labore.
397,6,2024-10-24,Mobile equipment,Day,Haul road,Medium,False,Cum iste inventore reiciendis eius voluptates doloremque aliquam harum animi inventore facilis veritatis ratione animi aliquam iusto qui neque.
398,6,2024-12-28,Fall from height,Night,Open pit,Low,False,Delectus facere sit fugit officiis odio dolorem eos recusandae molestiae blanditiis.
399,6,2026-01-21,Ground fall,Afternoon,Underground,Low,True,Voluptates odio illo assumenda tempora dolorum ducimus libero qui laudantium.
400,6,2026-01-23,Fall from height,Night,Open pit,Low,True,Libero ea eligendi doloremque dignissimos magnam delectus consequuntur soluta.
401,6,2023-08-23,Mobile equipment,Day,Underground,Low,True,Ab porro omnis temporibus magni tempore minus facilis ipsam incidunt minus nulla ipsam quidem odio.
402,6,2024-04-17,Manual handling,Day,Haul road,Medium,False,Natus quae iste accusantium laborum veritatis nisi inventore eveniet atque sit enim corrupti.
403,6,2026-02-08,Mobile equipment,Night,Camp,Medium,True,Ipsum dolores quibusdam quia unde necessitatibus odit error culpa molestias nobis.
404,6,2023-10-31,Mobile equipment,Afternoon,Workshop,Low,False,Quia deserunt facilis impedit tenetur delectus est ut perspiciatis voluptas nesciunt officia quidem quibusdam eligendi nemo aliquid.
405,6,2024-08-24,Fall from height,Day,Underground,High,True,Maiores doloremque suscipit veniam et aliquam repellendus quod consectetur.
406,6,2026-04-11,Ground fall,Night,Workshop,Low,False,Expedita veritatis beatae nostrum nesciunt molestiae dignissimos dolores iusto placeat enim doloribus tempore dolor quas necessitatibus vel non.
407,6,2023-08-20,Explosives,Night,Processing plant,High,True,Natus at ratione quae sunt rem sed cum explicabo nemo aperiam facilis at ducimus at atque.
408,6,2024-06-24,Mobile equipment,Day,Haul road,Low,False,Facilis maiores ad facilis quisquam odit totam a amet.
409,6,2025-09-22,Mobile equipment,Afternoon,Haul road,Medium,True,Autem explicabo facilis modi recusandae dolore voluptates totam velit totam reprehenderit officiis fuga quas unde vitae.
410,6,2024-07-19,Electrical,Night,Processing plant,Medium,True,Beatae hic veniam eveniet sit reprehenderit repellendus modi ex id.
411,6,2023-12-28,Mobile equipment,Afternoon,Workshop,Low,False,Quos voluptatem atque aspernatur sunt harum voluptatum possimus et aliquam occaecati veritatis nihil labore.
412,6,2024-03-08,Mobile equipment,Afternoon,Haul road,High,False,Inventore dicta quisquam quo cupiditate nam earum consequuntur velit.
413,6,2024-11-27,Ground fall,Day,Open pit,Medium,True,Nulla commodi fugit voluptas beatae mollitia quae assumenda.
414,6,2025-04-27,Explosives,Day,Underground,High,False,Delectus autem voluptates nulla eius iusto id fugit aliquam.
415,6,2024-01-15,Electrical,Night,Underground,High,False,Quidem eveniet nulla ipsa consequuntur hic atque hic sint aspernatur ab reprehenderit.
416,6,2025-10-18,Mobile equipment,Day,Camp,High,True,Distinctio maiores id dolor quibusdam voluptate fugiat dolore facere facilis tempora illo dicta perspiciatis fuga.
417,6,2024-12-24,Fall from height,Afternoon,Underground,High,True,Ratione eum natus ullam consectetur nobis est consequuntur quos.
418,6,2024-12-21,Mobile equipment,Day,Underground,Medium,True,Totam rerum velit porro qui facilis reprehenderit culpa reprehenderit voluptates dicta officiis doloribus necessitatibus dolorum odit cum aliquid qui.
419,6,2024-12-02,Mobile equipment,Night,Workshop,High,False,Sint amet voluptas quae tempora fugit officia recusandae pariatur expedita inventore facere nulla aspernatur ab.
420,6,2023-09-22,Mobile equipment,Afternoon,Haul road,Low,False,Ipsum facilis officiis porro a sint voluptatem optio optio officiis.
421,6,2025-09-22,Mobile equipment,Night,Processing plant,High,True,Ipsum eum ipsam suscipit voluptatum id eius dolores beatae ea eveniet deserunt atque corporis tempora.
422,6,2025-09-20,Ground fall,Day,Open pit,Low,True,Quos adipisci quasi ea amet at commodi aliquid quisquam temporibus perferendis rem soluta saepe.
423,6,2025-10-28,Electrical,Afternoon,Open pit,Medium,False,Iste ut ab molestiae quidem mollitia minima quae animi eos voluptate natus fugit hic.
424,6,2024-03-26,Mobile equipment,Night,Underground,Low,True,Officiis placeat nisi optio nostrum optio dignissimos necessitatibus delectus iste.
425,6,2024-10-16,Mobile equipment,Night,Underground,Medium,False,Fugiat ex odio ad facilis sequi reiciendis aspernatur hic ipsa praesentium fuga molestiae.
426,6,2025-12-29,Ground fall,Afternoon,Camp,Low,False,Asperiores autem illum animi reprehenderit unde quo sed.
427,6,2026-04-30,Explosives,Day,Processing plant,Low,False,Ducimus error expedita laborum harum nesciunt ducimus fugiat ipsa odit a qui necessitatibus reiciendis.
428,6,2023-11-08,Mobile equipment,Day,Open pit,High,True,Quos repellat sapiente laborum corrupti ratione saepe dolore.
429,6,2024-05-11,Hazardous substances,Afternoon,Underground,Low,True,Architecto repellat fugiat commodi impedit reprehenderit libero corporis vel dolores dolor debitis corrupti at.
430,7,2023-12-20,Explosives,Afternoon,Haul road,High,False,Sint consectetur est ea unde officia accusamus nobis tenetur perspiciatis similique sed id.
431,7,2024-12-24,Mobile equipment,Night,Haul road,Medium,True,Sunt eaque nihil eligendi earum quidem minima ab quidem debitis cupiditate tenetur eum quibusdam officia ullam beatae cupiditate dolorem.
432,7,2023-09-13,Explosives,Day,Underground,Low,False,Ipsum in laboriosam quidem velit ipsum eligendi quis totam perferendis hic laudantium.
433,7,2026-04-10,Fall from height,Day,Open pit,Medium,False,Vitae aliquam in placeat perferendis ratione deleniti recusandae labore harum eum minus ad amet maxime nemo molestiae.
434,7,2024-10-20,Electrical,Afternoon,Underground,Low,True,Dolore consectetur aspernatur nulla eligendi optio facilis quo numquam odio quia culpa similique.
435,7,2023-11-08,Fall from height,Afternoon,Camp,Medium,False,Dolorem eveniet ullam nihil labore ullam laudantium amet eveniet illo quam maxime modi cum aperiam minus hic illum ut.
436,7,2026-05-16,Ground fall,Afternoon,Open pit,High,False,Ea provident repellat debitis beatae accusantium architecto vitae doloribus.
437,7,2023-10-07,Manual handling,Day,Underground,High,False,Illo quod perferendis accusamus consequatur totam quam rerum animi.
438,7,2025-03-20,Electrical,Night,Open pit,High,False,Impedit eum at eum quas quis quam aspernatur provident mollitia facere quae modi eaque.
439,7,2023-07-04,Fall from height,Night,Workshop,Low,True,Possimus veniam perferendis praesentium eius impedit animi sint sequi corrupti nihil reiciendis minus.
440,7,2024-07-05,Mobile equipment,Day,Haul road,Medium,False,Nobis eligendi voluptas explicabo in sint a iste dignissimos similique expedita.
441,7,2023-11-27,Electrical,Night,Underground,Medium,False,Quasi commodi porro nihil magni exercitationem voluptatum eius iste blanditiis expedita at animi ratione.
442,7,2026-03-05,Explosives,Night,Underground,Medium,False,Nulla saepe accusamus porro tempora incidunt consequatur laborum tenetur.
443,7,2024-06-20,Mobile equipment,Night,Workshop,Medium,False,Tempora dolorum architecto a autem saepe magnam molestiae expedita velit dolore temporibus culpa veritatis.
444,7,2023-10-16,Manual handling,Afternoon,Underground,High,False,Veniam incidunt odio aliquid eos rerum sint ipsam rerum tempora libero.
445,7,2024-05-21,Fall from height,Afternoon,Processing plant,Medium,True,Dolores expedita facere hic eligendi doloribus dignissimos magnam soluta accusamus cumque reiciendis rerum.
446,7,2026-03-10,Fall from height,Day,Processing plant,Medium,False,Asperiores ullam minima error facilis iste ipsum repellat architecto nisi rem recusandae recusandae quidem explicabo suscipit odio.
447,7,2024-05-03,Mobile equipment,Night,Camp,Low,True,Provident ipsum commodi autem ullam consequuntur aliquam exercitationem unde.
448,7,2026-02-03,Mobile equipment,Night,Underground,High,False,Vero ipsam ea neque nihil eveniet incidunt totam architecto dignissimos saepe rerum quas.
449,7,2024-03-20,Mobile equipment,Night,Underground,High,True,Minus minus sapiente aliquid iusto magnam quod officia architecto exercitationem dolore porro.
450,7,2025-08-09,Manual handling,Day,Camp,Medium,True,Dolores tempore similique culpa esse ducimus earum officia eveniet iste eos natus.
451,7,2024-12-16,Electrical,Day,Haul road,High,True,Ullam dolor id nisi maxime impedit ducimus harum a nesciunt dolorum sed totam soluta.
452,7,2024-02-16,Mobile equipment,Night,Open pit,Medium,True,Laudantium corrupti provident eligendi corporis ex repellendus numquam molestias minima aliquam saepe nesciunt magni totam sint.
453,7,2025-11-06,Explosives,Night,Camp,Medium,False,Nulla quisquam expedita tempora cumque facilis laborum similique possimus quidem quae a esse.
454,7,2024-12-23,Ground fall,Night,Processing plant,High,False,Nesciunt temporibus pariatur ut quasi voluptate itaque deleniti ducimus sunt tempore reiciendis quos.
455,7,2025-05-10,Mobile equipment,Afternoon,Underground,High,False,Voluptatibus eum laudantium at ipsa maiores quibusdam quo cum consectetur voluptas molestias.
456,7,2025-01-05,Explosives,Night,Open pit,Low,False,In doloremque hic quidem deleniti adipisci iste molestias error magnam nihil consequuntur iste itaque vel.
457,7,2025-12-27,Ground fall,Night,Underground,High,True,Praesentium ratione accusamus dolore asperiores enim iusto blanditiis nulla temporibus fuga.
458,7,2026-04-19,Hazardous substances,Night,Open pit,Medium,True,Iure doloribus nemo occaecati temporibus doloremque corrupti necessitatibus modi accusantium neque iusto.
459,7,2025-11-06,Hazardous substances,Night,Processing plant,Low,False,Distinctio voluptatibus tenetur quas mollitia sapiente odio minima.
460,7,2026-04-02,Mobile equipment,Day,Haul road,High,True,Sed error recusandae aut unde alias tenetur molestiae.
461,7,2023-08-19,Manual handling,Day,Open pit,Low,True,Eius corporis quod labore inventore tempora velit tenetur adipisci cumque exercitationem eos a facilis.
462,7,2023-07-09,Mobile equipment,Day,Underground,High,True,Minima sit hic ut exercitationem id quaerat laudantium iusto quas aperiam error cum.
463,7,2026-02-18,Ground fall,Afternoon,Open pit,Medium,False,Dolores ratione voluptatibus sint nulla consequatur quae saepe tenetur voluptatem odit tempore explicabo error perferendis voluptatum incidunt debitis.
464,7,2024-06-09,Fall from height,Day,Camp,High,False,Consectetur illo quia dicta ipsum totam neque animi quae maxime.
465,7,2025-01-29,Mobile equipment,Afternoon,Underground,Medium,False,Officia eaque eos molestiae facere ut unde ullam ullam soluta quam excepturi qui inventore.
466,7,2024-07-26,Fall from height,Afternoon,Camp,High,True,Amet nostrum voluptas earum doloribus ullam voluptates eaque molestias nemo porro hic alias et provident in earum.
467,7,2025-07-24,Fall from height,Day,Workshop,Medium,False,Ipsa velit unde id suscipit accusantium magnam rerum unde illum commodi sapiente reprehenderit nemo placeat consectetur illo qui.
468,7,2026-03-23,Ground fall,Night,Workshop,Medium,True,Illo totam quidem doloribus amet atque corrupti dolor temporibus quasi.
469,7,2026-02-18,Mobile equipment,Night,Haul road,Medium,False,Similique ad saepe veritatis autem cupiditate ipsam saepe sapiente error illum voluptate modi vel.
470,7,2024-01-14,Manual handling,Afternoon,Open pit,Medium,True,Molestias ducimus recusandae eveniet nobis dolore natus dolore tempore debitis itaque quo nulla.
471,8,2023-11-01,Mobile equipment,Day,Open pit,Low,True,Quam id maxime distinctio asperiores saepe possimus nobis dolores mollitia magni et.
472,8,2024-01-28,Mobile equipment,Night,Processing plant,Low,False,Consequuntur commodi modi repellendus doloremque necessitatibus facilis aperiam alias in rem autem hic amet debitis.
473,8,2026-01-18,Ground fall,Afternoon,Haul road,High,False,Dolores nemo aliquam fugit nulla reiciendis repellendus dicta illum similique sequi laudantium exercitationem aliquid magnam minima praesentium.
474,8,2024-06-16,Ground fall,Afternoon,Open pit,Low,True,Necessitatibus dolore quod inventore ipsum perspiciatis incidunt commodi veritatis minima neque officiis recusandae odio quibusdam minima.
475,8,2024-10-15,Fall from height,Night,Open pit,High,False,Minima vero molestias soluta eveniet saepe ea voluptatem ipsam minus doloremque neque repellat.
476,8,2026-04-21,Ground fall,Day,Workshop,Medium,False,Cumque qui vel hic at expedita doloremque cupiditate maiores debitis saepe.
477,8,2025-03-19,Electrical,Night,Camp,High,True,Veniam vitae quos ducimus error quos voluptatibus necessitatibus suscipit saepe officia.
478,8,2023-12-28,Mobile equipment,Day,Camp,High,False,Natus eligendi culpa necessitatibus sint totam asperiores quia ipsam unde asperiores eum delectus dolor commodi veniam eligendi.
479,8,2025-03-20,Ground fall,Afternoon,Processing plant,Low,True,Dolor itaque id reiciendis explicabo sunt cumque error sunt fuga quisquam consectetur quam atque nostrum modi natus similique.
480,8,2025-04-13,Mobile equipment,Afternoon,Workshop,Low,True,Vero eum eum iusto ipsam ut quam ut dicta iste odit sed non error deleniti.
481,8,2023-06-08,Manual handling,Day,Underground,Medium,False,Incidunt rerum sapiente vel autem quam explicabo aliquid error minus excepturi veniam consequuntur magnam quasi numquam aliquam adipisci.
482,8,2026-04-22,Ground fall,Afternoon,Camp,High,True,Commodi cupiditate modi ipsum quae explicabo in ab sunt corrupti cum.
483,8,2023-10-01,Explosives,Day,Processing plant,Low,True,Corporis architecto veniam temporibus eveniet fuga laboriosam consectetur unde ducimus recusandae ad dolorem dolor.
484,8,2026-02-20,Mobile equipment,Night,Haul road,Medium,True,Ducimus nobis ipsa adipisci impedit illo error dicta perferendis cupiditate ipsum et tempore neque cum eligendi autem nesciunt.
485,8,2025-11-26,Explosives,Night,Open pit,Low,True,Impedit eveniet modi dolore ea omnis dolores odio vitae cum recusandae voluptatem repellat eligendi.
486,8,2024-10-25,Ground fall,Night,Haul road,High,True,Facilis quas dolorum adipisci earum consectetur ut officiis nisi ducimus dolores eveniet tempora veniam.
487,8,2024-01-18,Mobile equipment,Afternoon,Camp,Medium,True,Ad quibusdam quas pariatur incidunt blanditiis sequi odio at maxime quis.
488,8,2024-09-10,Explosives,Night,Processing plant,High,True,Dicta assumenda nam doloremque aspernatur esse ex autem adipisci nihil occaecati suscipit deserunt nisi.
489,8,2023-08-04,Mobile equipment,Day,Processing plant,Medium,False,Labore voluptate architecto sequi porro rerum recusandae alias atque labore quibusdam in veniam.
490,8,2023-08-29,Ground fall,Day,Processing plant,High,False,Animi dolores excepturi nam saepe quas quasi cumque voluptates eligendi delectus rem id consectetur.
491,8,2024-09-08,Mobile equipment,Night,Underground,Low,True,Iste quisquam dicta unde quidem at quidem perspiciatis molestiae excepturi deserunt nobis blanditiis libero nam.
492,8,2023-09-14,Ground fall,Day,Haul road,Low,True,Magni perferendis aperiam deserunt fugiat quibusdam perferendis repudiandae a provident dolorum.
493,8,2023-06-01,Mobile equipment,Night,Processing plant,High,False,Iste facere repudiandae necessitatibus vitae ex doloremque ea doloribus doloribus a velit laudantium consequatur temporibus nihil voluptatum quas.
494,8,2025-09-01,Mobile equipment,Night,Underground,High,False,Quae possimus fuga ratione rerum corrupti quas iusto eum.
495,8,2024-05-02,Ground fall,Day,Underground,Low,True,Exercitationem et at dolor praesentium excepturi quam minima ipsum illo cum amet perspiciatis dolorum hic dolor aperiam nihil fugiat.
496,8,2023-12-30,Mobile equipment,Night,Camp,Medium,True,Architecto aspernatur cumque magnam nulla minima odio soluta doloribus molestiae dolor nulla.
497,8,2024-08-23,Mobile equipment,Night,Open pit,Low,False,Dolores minima sint alias amet ducimus error quaerat officia quae magnam eligendi pariatur quos numquam ullam.
498,8,2025-09-10,Fall from height,Day,Processing plant,Low,False,Nobis provident modi quia veritatis voluptas est cum odit.
499,8,2024-12-04,Hazardous substances,Afternoon,Underground,Low,False,Architecto doloremque facilis distinctio saepe vel repellendus architecto veritatis illo cumque veniam corporis itaque consectetur harum quos quam atque.
500,8,2023-11-07,Mobile equipment,Day,Open pit,Low,False,Deserunt consequatur molestias blanditiis magni totam maxime quibusdam.
501,8,2024-12-23,Fall from height,Night,Haul road,Low,True,Aliquam labore inventore expedita quam sequi excepturi atque perferendis officia.
502,8,2024-06-16,Fall from height,Night,Underground,Low,False,Exercitationem laboriosam cumque sed dolores facilis recusandae esse modi velit occaecati iusto vero fuga.
503,8,2026-05-06,Mobile equipment,Day,Haul road,Low,True,Magni error alias debitis id consequuntur distinctio nihil blanditiis ea eveniet cumque unde laudantium cumque cupiditate.
504,8,2023-09-28,Fall from height,Afternoon,Camp,Medium,True,Totam quia sed perferendis et quidem veritatis dolores soluta vel distinctio.
505,8,2024-12-11,Electrical,Afternoon,Open pit,Medium,True,Labore aspernatur quaerat maiores beatae nemo sapiente sed deserunt error fuga animi illum sit repellat cum aperiam maiores placeat.
506,8,2026-02-02,Electrical,Afternoon,Open pit,Low,False,Voluptate ipsum amet aperiam culpa nostrum repellendus voluptatem magni voluptas magnam sint occaecati.
507,8,2023-06-27,Mobile equipment,Night,Underground,High,True,Asperiores ipsam id delectus ipsa a laudantium tenetur eaque amet explicabo in facilis natus.
508,8,2026-04-14,Mobile equipment,Night,Workshop,High,True,Minima pariatur perferendis nihil doloribus laboriosam fugiat odio ullam suscipit laboriosam quidem.
509,8,2023-10-15,Ground fall,Night,Processing plant,Medium,True,Commodi illum maxime veritatis modi molestias eius adipisci reprehenderit fuga hic vero odit quisquam iusto praesentium.
510,8,2025-04-28,Mobile equipment,Day,Workshop,Low,True,Voluptatem aliquam temporibus dolore dolores distinctio molestiae nulla.
511,8,2024-11-28,Explosives,Day,Camp,Low,False,Dolore minus eveniet deserunt dolores praesentium veniam ad impedit ut eligendi non amet vitae itaque quod.
512,8,2025-08-07,Mobile equipment,Afternoon,Workshop,High,False,Blanditiis ipsa temporibus veritatis facere eum tenetur temporibus nesciunt nostrum id neque deleniti esse.
513,8,2026-01-27,Mobile equipment,Night,Haul road,Medium,False,Explicabo velit asperiores ipsam voluptatum sapiente quia iste ea in.
514,8,2023-06-19,Electrical,Afternoon,Haul road,Medium,False,Quasi adipisci autem nulla temporibus esse repellat cupiditate quae iste tempore repudiandae earum quis asperiores animi.
515,8,2025-12-29,Explosives,Night,Haul road,High,True,Neque voluptas odio veniam vero sed magni illum molestiae possimus iusto temporibus iusto repellat sequi deleniti voluptas.
516,8,2023-08-04,Mobile equipment,Day,Camp,Medium,False,Adipisci voluptatum eligendi qui error iste blanditiis temporibus amet aut fuga.
517,8,2024-05-23,Mobile equipment,Night,Camp,Low,False,Quaerat nulla iste facilis fugit corrupti voluptatum facere eius inventore distinctio assumenda quos autem sint magnam magni atque.
518,8,2026-05-12,Fall from height,Afternoon,Processing plant,High,True,Sapiente fuga quas ullam quo velit nam beatae cum deserunt fuga neque ratione hic in nemo.
519,8,2024-09-04,Mobile equipment,Afternoon,Underground,High,True,Eum porro natus ipsa optio occaecati unde distinctio ipsam velit blanditiis fugit facilis labore officiis praesentium.
520,8,2024-05-27,Mobile equipment,Afternoon,Underground,Medium,False,Libero natus sit praesentium quo excepturi officiis beatae molestias corrupti enim in eum pariatur harum.
521,8,2024-01-01,Mobile equipment,Night,Workshop,High,True,Vel vero culpa nihil in ex laudantium a debitis eius magni quibusdam aliquid.
522,8,2025-03-11,Explosives,Day,Camp,Medium,True,Accusamus laudantium est hic temporibus voluptatem quibusdam soluta est accusantium quis impedit ipsum amet in omnis.
523,8,2024-10-17,Fall from height,Afternoon,Camp,High,False,Ipsum ullam eaque odio consequuntur nostrum odio dolorum aut.
524,8,2026-04-22,Ground fall,Afternoon,Haul road,High,True,Repudiandae voluptates doloremque tempora quaerat quos architecto facere repellendus modi unde illo ratione commodi adipisci repellendus sequi.
525,8,2025-05-23,Ground fall,Night,Processing plant,High,True,Dolore fuga numquam quas modi sed harum labore totam deserunt illo accusamus adipisci ullam.
526,8,2023-12-02,Ground fall,Night,Processing plant,Low,False,Quidem nihil eum atque repellat ratione non voluptas vel tempore eius maxime.
527,8,2024-12-10,Mobile equipment,Afternoon,Workshop,High,False,Facere magnam doloribus iusto quos minus quibusdam maxime.
528,8,2024-02-12,Hazardous substances,Afternoon,Haul road,Medium,True,Neque alias suscipit explicabo inventore est est sunt veniam quos modi quibusdam vitae.
529,8,2023-10-12,Mobile equipment,Day,Processing plant,Low,False,Placeat eligendi repudiandae quia soluta ad odit quidem reiciendis delectus accusamus repellat.
530,8,2023-10-30,Electrical,Afternoon,Open pit,Low,True,Ducimus architecto maiores temporibus odit illum magnam ipsa corrupti consectetur beatae facere perferendis nemo laudantium.
531,8,2025-07-29,Electrical,Afternoon,Workshop,Medium,False,Quod ratione quo optio consectetur mollitia adipisci qui quisquam sint quisquam ea optio aut quia inventore.
532,8,2026-05-19,Mobile equipment,Afternoon,Underground,Medium,True,Ut deleniti optio tempora voluptatum maxime saepe aliquid aliquam blanditiis.
533,8,2025-03-24,Manual handling,Night,Workshop,High,True,Aspernatur officiis consequatur explicabo vero dolore aspernatur iste alias dolor harum unde ullam minus maiores.
534,8,2024-11-20,Mobile equipment,Afternoon,Processing plant,Low,True,Beatae magni id cumque assumenda quas aspernatur laudantium ipsum quae odio.
535,8,2025-05-10,Ground fall,Afternoon,Open pit,Low,True,Perferendis modi facere aliquam ab laboriosam assumenda ipsum sapiente occaecati nesciunt iure molestiae officia recusandae enim voluptates aut.
536,8,2026-01-27,Mobile equipment,Night,Haul road,Medium,True,In doloremque repudiandae eum vero veniam neque debitis explicabo mollitia quod quidem.
537,8,2026-03-10,Explosives,Night,Camp,Medium,True,Voluptas voluptates possimus rem at ipsa nemo quidem quisquam.
538,8,2024-04-01,Ground fall,Night,Haul road,Low,True,Expedita tempora hic iusto assumenda magnam qui voluptates placeat totam provident ducimus eligendi.
539,8,2024-11-06,Ground fall,Night,Camp,Medium,False,Perspiciatis numquam quos sunt odio consequatur animi praesentium.
540,8,2026-04-01,Mobile equipment,Day,Underground,High,False,Fugit animi ea sit velit eligendi at consequatur et blanditiis adipisci iure est numquam ullam.
541,8,2024-08-27,Hazardous substances,Afternoon,Underground,Low,True,Repellendus et nostrum aliquid ducimus neque ex molestias incidunt impedit nulla aut nihil dicta architecto enim.
542,8,2023-12-25,Fall from height,Afternoon,Underground,Low,False,Saepe aperiam vero nisi enim et omnis consectetur voluptatem magni praesentium rerum laudantium optio odio asperiores.
543,8,2024-03-26,Ground fall,Night,Open pit,Low,True,Quis asperiores illum cumque hic ab veritatis saepe tenetur ea at voluptatum facilis quasi.
544,8,2026-04-13,Fall from height,Night,Processing plant,Medium,True,Et nihil distinctio quaerat animi eligendi id tenetur iusto similique doloremque.
545,8,2025-01-19,Ground fall,Afternoon,Underground,Low,False,Sed vel fuga praesentium recusandae numquam laudantium accusamus facilis.
546,8,2025-11-12,Fall from height,Day,Underground,Medium,True,Atque temporibus qui voluptas odio minima repudiandae aspernatur accusamus asperiores dolorem soluta.
547,8,2025-06-01,Ground fall,Night,Processing plant,Medium,False,Labore labore quo neque cum alias exercitationem tempore aspernatur.
548,8,2023-10-22,Mobile equipment,Day,Open pit,Low,False,Perferendis enim assumenda perferendis enim repellat necessitatibus adipisci exercitationem ipsa nemo distinctio debitis facilis minus ad nihil ad.
549,8,2024-09-10,Explosives,Afternoon,Underground,High,False,Distinctio sunt nesciunt autem tempore hic molestiae sequi quis iste perspiciatis aspernatur voluptates beatae adipisci commodi aliquam fuga.
550,8,2023-10-04,Electrical,Afternoon,Open pit,High,False,Vel culpa nostrum quaerat alias occaecati magnam dolore sed exercitationem.
551,8,2025-12-04,Ground fall,Night,Workshop,Medium,False,Praesentium illum eum dignissimos voluptatibus molestias tempore ducimus quae similique ipsum reiciendis.
552,8,2025-10-21,Mobile equipment,Afternoon,Haul road,High,False,A beatae vero laborum optio molestias ab quos debitis ad blanditiis expedita aperiam omnis sunt beatae explicabo voluptates.
553,8,2024-05-23,Electrical,Night,Underground,Medium,True,Sit enim doloribus temporibus commodi atque modi fuga voluptatum doloribus cupiditate odio eaque animi velit incidunt blanditiis.
554,8,2023-06-12,Explosives,Night,Camp,High,False,Quibusdam fuga consequuntur expedita labore molestiae id veniam numquam sunt ullam magni omnis sit exercitationem.
555,8,2026-03-30,Ground fall,Afternoon,Underground,Low,False,Eligendi ullam et laborum commodi culpa velit incidunt omnis exercitationem mollitia sunt necessitatibus maiores eius.
556,8,2025-08-21,Mobile equipment,Afternoon,Underground,High,False,Necessitatibus libero ducimus corrupti veniam accusamus amet modi eveniet reiciendis beatae quis reiciendis labore nihil placeat.
